Month,DayofMonth,Origin,Dest,O_State,O_Latitude,O_Longitude,D_State,D_Latitude,D_Longitude
5,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
